category,title,price,link,image,description,top,middle,base
Women,"Diptyque, Do Son Edp 75Ml W","KSh27,900.00",https://cierraperfumes.com/product/diptyque-do-son-edp-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Diptyque-Do-Son-Edp-75ml-W.jpeg?resize=300%2C300&ssl=1,"From Diptyque, an exotic tuberose perfume inspired by visits to Indochina in the 1930s. The tuberose is represented with other floral notes in a steamy and lush tropical environment with a persistent and sensual perfume.","Do Son blends the bitter-sweet notes of tuberose with orange tree leaves, berries and iris.",,
Women,"Diptyque, Do Son Edt 75Ml W","KSh26,900.00",https://cierraperfumes.com/product/diptyque-do-son-edt-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Diptyque-Do-Son-Edt-75ml-W.jpeg?resize=300%2C300&ssl=1,"As a child, Yves Coueslant, one of diptyque’s founders, spent his summers in Do Son, in Ha Long Bay. The sea breeze carried the heady and spicy scent of tuberoses. Do Son has the delicateness and persistence of a memory from a childhood in Indochina – the memory of a flower, between lightness and delight.",Notes,"Tuberose, Orange blossom, Jasmine",
Women,"DIPTYQUE, EAU ROSE EDT 100ML W","KSh28,500.00",https://cierraperfumes.com/product/diptyque-eau-rose-edt-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/DIPTYQUE-EAU-ROSE-EDT-100ML-W.jpeg?resize=300%2C300&ssl=1,"A new take on the Rose, the Eau Rose Eau de Parfum, reveals a fascinating dimension of the flower – more vibrant and exuberant.","In this composition, extracts and absolutes of damascena and centifolia roses amplify the flowers’ intensity. Firad rose essence is added to this duo, with its astonishing fruity accents of litchi, and unexpected, yet naturally present, notes: the honeyed accents of camomile, and a singular, green, vegetal accord of artichoke. After all, the perfumers say, “a good rose always smells of artichoke”. A surprising detour inspired by the fantasies of nature, for a rose with a playful and exhilarating character.",,
Women,"Diptyque, Olene Edt 100Ml W","KSh24,200.00",https://cierraperfumes.com/product/diptyque-olene-edt-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Diptyque-Olene-Edt-100ml-W.jpeg?resize=300%2C300&ssl=1,"Olene tells the story of Venetian gardens. In the evening, under the pergola, the sweet fragrance of wisteria and jasmine or sometimes honeysuckle, just as delicate. Cross bridges to lose yourself, and then stroll through the narrow streets to perceive the thousand and one scents of the flowers.",,,
Women,"Dkny, Be Delicious Edp 100Ml W","KSh9,700.00",https://cierraperfumes.com/product/dkny-be-delicious-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/DKNY-BE-DELICIOUS-EDP-100ML-W.jpeg?resize=300%2C300&ssl=1,"A modern feast for the senses. Served in a sleek metal and glass apple bottle, this juicy fragrance combines the scent of apple with a sophisticated blend of exotic flowers and sensual woods. Like the city that inspired it, Be Delicious celebrates individuality with refreshing spirit.","Notes:American Apple, Cucumber, Grapefruit, Candid Magnolia, Tuberose, White Muguet, Rose, Violet, Sandalwood, Tender Skin Accord, Blonde Woods, White Amber.",Style:Free-spirited. Refreshing. Unique.,
Women,"Dkny, Be Delicious Fresh Blossom Edp 100Ml W","KSh8,700.00",https://cierraperfumes.com/product/dkny-be-delicious-fresh-blossom-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/DKNY-Be-Delicious-Fresh-Blossom-Edp-100ml-W.jpeg?resize=300%2C300&ssl=1,"DKNY Be Delicious Fresh Blossom is inspired by the beauty of the Apple Blossom – known as a symbol of love, youth, beauty and happiness. Inspiring you to take on new challenges and make a fresh start.","Be Delicious Fresh Blossom marries freshness, vibrancy and femininity to create a scent that opens, blooms and lingers. Sparkling Grapefruit, Rose and Blonde Woods embody the top, heart and base notes of the scent.",Fragrance Notes:• Top: Sparking Grapefruit• Heart: Rose• Base: Blonde woods,
Women,"Dkny, Golden Delicious Edp 100Ml W","KSh9,000.00",https://cierraperfumes.com/product/dkny-golden-delicious-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/DKNY-Golden-Delicious-Edp-100ml-W.jpeg?resize=300%2C300&ssl=1,"DKNY Golden Delicious celebrates luxury and splendor with its rich and accentuated aromas of juicy ‘Golden delices’ apple, accompanied by orange blossom and Mirabelle plum. An opulent floral heart offers a bouquet of white roses, surrounded with Casablanca lilies, lily of the valley and vanilla orchid, while base caresses with notes of musk followed by a sensual woody trail of sandalwood and teak.",,,
Women,"Dkny, Pure Edp 100Ml W","KSh7,800.00",https://cierraperfumes.com/product/dkny-pure-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/DKNY-Pure-Edp-100ml-W.jpeg?resize=300%2C300&ssl=1,"Pure DKNY Verbena by Donna Karan is a citrus-floral-green fragrance that is refreshing and clean. It’s wonderful for those hot summer days when you need some refreshment. It opens with citrus and basil notes and then softens to a simple floral heart, drying down to a base of amber, sea moss and vetiver to keep you feeling and smelling wonderful and refreshed all day long!","Top Notes: Basil, Lemon Verbena.","Middle Notes: Jasmine, Honeysuckle, Peony.","Base Notes: Vetiver, White Amber, Sea Moss."
Women,"Dolce & Gabbana, Desire Edp 75Ml W","KSh14,200.00",https://cierraperfumes.com/product/dolce-gabbana-desire-edp-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Desire-Edp-75ml-W.jpeg?resize=300%2C300&ssl=1,The One Desire is a deeply feminine fragrance that illuminates everyday moments into something special. A blend of luxurious ingredients as potent and captivating as the emotion of desire itself leads us on a journey of opulent seduction.,"Top notes a citrusy blend of bergamot, mandarin, lychee and lily of the valley, emphasizing the glamour and glory of a woman. The heart blooms with seductive tuberose which is cleverly laid out on the base which is made of caramel, vanilla, sandalwood and musk.",,
Women,"Dolce & Gabbana, Devotion Edp 100Ml W","KSh19,900.00",https://cierraperfumes.com/product/dolce-gabbana-devotion-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Devotion-Edp-100ml-W.jpeg?resize=300%2C300&ssl=1,"The Dolce&Gabbana Devotion Eau de Parfum fragrance is a sensory journey, seductive and reassuring, capable of evoking the positive values to which Dolce&Gabbana hold dear, symbolized by the Sacred Heart seal. An olfactory creation of exquisite contrasts, bright top notes, sensual base notes.Details","The fragrance opens with the tantalizing, gourmand notes of candied citrus.",The luminous freshness of Orange Blossom at the heart.,"The warm, sensual touch of Alluring Vanilla transports the senses to a sweet and sophisticated destination."
Women,"DOLCE & GABBANA, DEVOTION INTENSE EDP 100ML W","KSh20,900.00",https://cierraperfumes.com/product/dolce-gabbana-devotion-intense-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/DOLCE-GABBANA-DEVOTION-INTENSE-EDP-100ML-W.jpeg?resize=300%2C300&ssl=1,"Dolce&Gabbana Devotion Eau de Parfum Intense is the latest Bright Gourmand fragrance joining the Devotion collection. The new olfactive creation revisits the original fragrance with its characteristic notes of Orange Blossom and Vanilla, featuring a new addition of distinctive Hazelnut.","Dolce&Gabbana Devotion Eau de Parfum Intense, the latest addition to the Dolce&Gabbana Devotion olfactory story, celebrates the brand’s unwavering dedication to Italian design and craftmanship.",Notes,Dolce&Gabbana Devotion Eau de Parfum Intense revisits the original fragrance with deeper and more enveloping notes.
Women,"Dolce & Gabbana, Dolce Edp 75Ml W","KSh12,300.00",https://cierraperfumes.com/product/dolce-gabbana-dolce-edp-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Dolce-Edp-75ml-W.jpeg?resize=300%2C300&ssl=1,"Feminine and fresh, Dolce Eau de Parfum embodies the delicate balance between timeless craftsmanship and innovation in the art of perfumed composition. Dolce is a personal touch, your signature scent. It epitomises the simplicity of a result obtained thanks to a complex process: the same one needed to create a finely-embroidered dress.","The fragrance opens with a brightly-coloured, sweet-smelling explosion of neroli leaves and papaya flower, dissipating into a floral bouquet as the core of the fragrance emerges.",,
Women,"Dolce & Gabbana, Dolce Lily Edt 75Ml W","KSh11,800.00",https://cierraperfumes.com/product/dolce-gabbana-dolce-lily-edt-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Dolce-Lily-Edt-75ml-W.jpeg?resize=300%2C300&ssl=1,"A luminous addition to the Dolce fragrance collection, this bright, fruity floral combines a delicate signature pink-lily accord with exotic passion fruit atop a base of soft, sensual musks.",Key Notes:,"Passion Fruit Accord, Pink Lily Accord, Musks",
Women,"Dolce & Gabbana, Dolce Peony Edp 75Ml W","KSh11,400.00",https://cierraperfumes.com/product/dolce-gabbana-dolce-peony-edp-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Dolce-Peony-Edp-75ml-W.jpeg?resize=300%2C300&ssl=1,"A burst of the irresistibly lavish and feminine peony, Dolce Peony sparkles with a new and unconventional energy, a new play on a fruity floral.","In the top notes, a hint of spicy pink pepper, fruity white bergamot and nashi pear, creating an exquisite crunchy freshness, delicately sublimated by cyclamen petals.The heart is all about the passion of the peony. Its breezy note encircles the fragrance, enriched by the natural sensuality of Bulgarian rose and the dewy freshness of freesia.In the dry down, a more mellow moment: the softness of yellow plum nectar envelops an intense woody amber note, underpinning this glorious floral fusion with a lingeringly bold and beautiful base.",,
Women,"Dolce & Gabbana, Dolce Q Edp 100Ml W","KSh19,800.00",https://cierraperfumes.com/product/dolce-gabbana-dolce-q-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Dolce-Q-Edp-100ml-W.jpeg?resize=300%2C300&ssl=1,"Q by Dolce&Gabbana is a fragrance with fruity notes, enriched by a strong woody base. The fresh taste of Sicilian Lemons combined with the contrasting sweet and sour flavours of Cherry gives the perfume a refined yet bold scent.",Notes,TOPThe fragrance opens with the sparkling citrus notes of Sicilian Lemon and red orange accompanied by delicate Jasmine petals.,HEARTAt the heart of the Q by Dolce&Gabbana Eau de Parfum fragrance lies the sweet and crunchy note of Cherry that is seduced by the creamy heliotrope.
Women,"DOLCE & GABBANA, DOLCE Q INTENSE EDP 100ML W","KSh20,800.00",https://cierraperfumes.com/product/dolce-gabbana-dolce-q-intense-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/DOLCE-GABBANA-DOLCE-Q-INTENSE-EDP-100ML-W.jpeg?resize=300%2C300&ssl=1,,,,
Women,"Dolce & Gabbana, Dolce Rose Edt 75Ml W","KSh11,800.00",https://cierraperfumes.com/product/dolce-gabbana-dolce-rose-edt-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Dolce-Rose-Edt-75ml-W.jpeg?resize=300%2C300&ssl=1,"Dolce & Gabbana, Dolce Rose Edt 75Ml W",,,
Women,"Dolce & Gabbana, Dolce Shine Edp 75Ml W","KSh11,000.00",https://cierraperfumes.com/product/dolce-gabbana-dolce-shine-edp-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Dolce-Shine-Edp-75ml-W.jpeg?resize=300%2C300&ssl=1,"Discover Dolce Shine Eau de Parfum, a joyful and irresistibly fresh fruity floral fragrance by Dolce&Gabbana.",Fragrance FamilyFloral,Scent TypeSunny Floral Fruity,"Key NotesMango, Grapefruit, Quince"
Women,"Dolce & Gabbana, Garden Edp 75Ml W","KSh11,300.00",https://cierraperfumes.com/product/dolce-gabbana-garden-edp-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Garden-Edp-75ml-W.jpeg?resize=300%2C300&ssl=1,"Dolce Garden opens with white flowers , fresh and fruity notes, evoking Mediterranean sun.The heart includes petals of frangipani and coconut which are set to create an ultra- feminine and sunny aura.In the base the perfume turns slightly gourmand with vanilla and woods.",,,
Women,"Dolce & Gabbana, Garden Edp 75Ml W Gift Set","KSh11,800.00",https://cierraperfumes.com/product/dolce-gabbana-garden-edp-75ml-w-gift-set/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Garden-Edp-75ml-W-Gift-Set.jpeg?resize=300%2C300&ssl=1,"DOLCE DOLCE & GABBANA garden Gift Set 3 pcs for womenDolce Garden Eau de Parfum is a delicious flower blossoming in a garden where simple pleasures and spontaneity set the beat for a joyful dance during a lazy yet groovy afternoon. With Dolce Garden, the frangipani blossom joins the delightful bouquet of the Dolce family. A joyful, solar aura blending citrus and cream. An exquisite balance of freshness and sweetness. The scents of a blooming garden. To express the playful femininity of Dolce Garden, the uniquely designed bottle, the fragrance and the flower cap take on a pastel pink, portraying the innate delicateness of flowers in bloom.",GIFT SET 3 PCS :,EAU DE PARFUM 75ML,BODY LOTION 50ML
Women,"Dolce & Gabbana, Light Blue Edt 100Ml W","KSh10,900.00",https://cierraperfumes.com/product/dolce-gabbana-light-blue-edt-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Light-Blue-Edt-100ml-W.jpeg?resize=300%2C300&ssl=1,"Light Blue: the quintessence of the joy of life and seduction by Dolce&Gabbana. All the essence of a sunny summer day is enclosed in this lively, fresh, floral and fruity fragrance that evokes the sensuality of the Mediterranean woman.","Top: Invigorating Sicilian cedar melds with the crisp vibrancy of apple and the guileless charm of the bluebell, to evoke the essence of a South Italian summer.",Heart: The freshness of bamboo nestles amid a glorious feminine bouquet of decadent jasmine and delicate white rose.,Base: Redolent citron wood is entwined with voluptuous amber and a suggestive caress of musk.
Women,"Dolce & Gabbana, Light Blue Edt 100Ml W Gift Set","KSh15,100.00",https://cierraperfumes.com/product/dolce-gabbana-light-blue-edt-100ml-w-gift-set/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Dolce-Gabbana-Light-Blue-Edt-100ml-W-Gift-Set.jpeg?resize=300%2C300&ssl=1,"Dolce & Gabbana Light Blue is a casual and breezy, sparkling fruity-floral scent that evokes the spirit of the Sicilian summer. Mouth-watering and fresh notes of lime and cedar are bringing an image of the South woods on the seashore. A very popular summer fragrance.",The Fragrance,"It is a Floral Fruity fragrance for women. Surprising and colored: the liveliness of Sicilian citron, the happiness of Granny Smith apple, the spontaneity of bluebells. Feminine and resolute: the intensity of jasmine, the freshness of bamboo, the charm of white rose. Deep and true: the character of cedarwood, the fullness of amber, the embrace of musk.",3 Pieces Dolce & Gabbana Light Blue EDT
Women,"DOLCE & GABBANA, LIGHT BLUE FOREVER EDP 100ML W","KSh14,400.00",https://cierraperfumes.com/product/dolce-gabbana-light-blue-forever-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/DOLCE-GABBANA-LIGHT-BLUE-FOREVER-EDP-100ML-W.jpeg?resize=300%2C300&ssl=1,Light Blue Forever is an attractive and entrancing scent for women.,"At the start are refreshing notes from Blood Orange, Green Apple and Lemon. The heart is appealing with notes from White Flowers and Orange Blossom, while the base is enchanting with notes from Cedar, Cashmeran and White Musk.",,
